1804.0,4391
1786.0,67
1784.0,33
1778.0,2767
1766.0,2337
1765.0,2054
1760.0,27
1748.0,5460
1747.0,2137
1734.0,862
1729.0,3620
1725.0,5216
1724.0,1701
1721.0,3572
1718.0,8608
1717.0,494
1714.0,6002
1711.0,10589
1704.0,6615
1704.0,7769
1703.0,2075
1698.0,5675
1695.0,7211
1694.0,3539
1692.0,3538
1689.0,7166
1687.0,3536
1686.0,3656
1683.0,68
1677.0,3175
1675.0,2832
1670.0,5505
1664.0,1918
1663.0,4967
1661.0,3767
1661.0,70
1661.0,910
1657.0,9245
1654.0,3655
1643.0,1076
1642.0,1506
1639.0,5166
1637.0,5660
1635.0,3604
1635.0,2611
1635.0,5712
1634.0,1189
1633.0,4776
1633.0,245
1633.0,1025
1633.0,5535
1632.0,226
1630.0,2145
1628.0,4398
1625.0,5577
1624.0,247
1622.0,469
1622.0,2960
1621.0,7056
1620.0,3770
1620.0,3414
1619.0,1023
1616.0,5530
1615.0,7197
1615.0,4422
1614.0,217
1614.0,51
1610.0,3546
1609.0,4237
1609.0,302
1609.0,5352
1608.0,3668
1607.0,3357
1606.0,818
1604.0,1718
1604.0,2586
1602.0,4405
1602.0,5843
1601.0,1481
1600.0,7768
1598.0,6548
1597.0,1188
1596.0,7196
1596.0,5436
1594.0,815
1594.0,3322
1593.0,6637
1593.0,6618
1593.0,7220
1591.0,1498
1591.0,857
1590.0,9558
1588.0,5152
1588.0,2771
1587.0,6077
1586.0,7790
1582.0,5907
1582.0,5114
1581.0,4381
1581.0,7174
1581.0,3875
1577.0,5534
1576.0,8397
1576.0,573
1576.0,5509
1574.0,10633
1574.0,141
1573.0,6570
1573.0,2620
1571.0,1684
1571.0,2851
1571.0,9312
1571.0,5547
1570.0,7501
1569.0,5314
1569.0,6861
1569.0,66
1566.0,548
1564.0,5066
1562.0,8517
1562.0,7656
1561.0,6120
1560.0,3603
1559.0,4855
1558.0,1711
1558.0,201
1557.0,5110
1556.0,10505
1556.0,8873
1555.0,2834
1555.0,8280
1552.0,9776
1551.0,10349
1551.0,4003
1548.0,4375
1547.0,107
1546.0,6088
1546.0,5695
1540.0,1502
1538.0,10666
1533.0,4680
1532.0,858
1528.0,10606
1528.0,2619
1521.0,8352
1521.0,7782
1520.0,10654
1507.0,5538
1503.0,6033
1502.0,9673
1496.0,6344
1494.0,5150
1493.0,6029
1493.0,4998
1490.0,4377
1489.0,4453
1489.0,5559
1489.0,4327
1465.0,9685
1462.0,9255
